-1 1:0.000436 2:4.339801 3:0.001891 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:0 17:0 
+1 1:0.000436 2:6.904751 3:0.003009 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000574 2:6.904751 3:0.003966 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:6.904751 3:0.003823 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:6.904751 3:0.003823 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:5.112991 3:0.002831 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:0.696161 3:0.000385 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:1 17:0 
-1 1:0.000554 2:6.904751 3:0.003823 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:6.211604 3:0.003439 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
+1 1:0.003486 2:4.707526 3:0.016410 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
-1 1:0.001661 2:1.207657 3:0.002006 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 
-1 1:0.000554 2:6.211604 3:0.003439 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:1.231428 3:0.000682 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:1 17:0 
-1 1:0.000554 2:5.518456 3:0.003056 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.002215 2:0.065274 3:0.000145 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:1 17:0 
+1 1:0.004021 2:1.087640 3:0.004373 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
-1 1:0.000554 2:6.211604 3:0.003439 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
-1 1:0.000554 2:4.419844 3:0.002447 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:0 17:0 
-1 1:0.001107 2:3.608914 3:0.003997 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
-1 1:0.000554 2:0.611331 3:0.000338 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:1 17:0 
-1 1:0.002215 2:0.688145 3:0.001524 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 
-1 1:0.000554 2:3.909018 3:0.002164 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:1 16:0 17:0 
-1 1:0.000554 2:4.958841 3:0.002746 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:1 14:1 15:0 16:0 17:0 
+1 1:0.031008 2:1.471029 3:0.045613 4:0 5:1 6:1 7:1 8:0 9:0 10:1 11:1 12:0 13:0 14:0 15:0 16:0 17:0 
